2024-06-18 16:34:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@62d4dac4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@11efa76e, org.springframework.security.web.context.SecurityContextHolderFilter@54ee423f, org.springframework.security.web.header.HeaderWriterFilter@335cbcbd, org.springframework.web.filter.CorsFilter@35c83c56, org.springframework.security.web.csrf.CsrfFilter@173da924, org.springframework.security.web.authentication.logout.LogoutFilter@5f80b25a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3f13720f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5a457aa1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@50e32998, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1899c7ae, org.springframework.security.web.access.ExceptionTranslationFilter@392af2e0, org.springframework.security.web.access.intercept.AuthorizationFilter@4446e1d9]
2024-06-18 16:34:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/h2-console/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-06-18 16:34:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/h2-console/**']
2024-06-18 16:34:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/update/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-06-18 16:34:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/update/**']
2024-06-18 16:34:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/update/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-06-18 16:34:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/update/**']
2024-06-18 16:34:50 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:test'
2024-06-18 16:34:50 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-06-18 16:34:50 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-06-18 16:34:50 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-06-18 16:34:50 [main] INFO  o.e.g.GruppSexApplicationTests - Started GruppSexApplicationTests in 8.684 seconds (process running for 12.302)
2024-06-18 16:34:51 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-18 16:34:51 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-06-18 16:34:51 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-06-19 10:24:52 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-19 10:24:52 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-06-19 10:24:52 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
